date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:06:15	3818/3818	---M-Z	200	added ('OK')	text/html	date:Mon,%2021%20Mar%202016%2012:06:30%20GMT	https://www.java.designpatterns.jobs4times.com/	D:/html/java/java.designpatterns.jobs4times.com/www.java.designpatterns.jobs4times.com/index.html	(from )
21:06:15	153/153	---M--	200	added ('OK')	text/plain	date:Sat,%2021%20May%202016%2018:48:15%20GMT	https://www.java.designpatterns.jobs4times.com/robots.txt		(from )
21:06:15	1819/1819	---M-Z	200	added ('OK')	text/css	date:Mon,%2007%20Mar%202016%2018:50:08%20GMT	https://www.java.designpatterns.jobs4times.com/styles.css	D:/html/java/java.designpatterns.jobs4times.com/www.java.designpatterns.jobs4times.com/styles.css	(from https://www.java.designpatterns.jobs4times.com/)
21:06:16	1163/1163	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2022%20Jun%202024%2015:36:16%20GMT	https://www.java.designpatterns.jobs4times.com/small.ico	D:/html/java/java.designpatterns.jobs4times.com/www.java.designpatterns.jobs4times.com/small.ico	(from https://www.java.designpatterns.jobs4times.com/)
21:06:17	13032/13032	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Mar%202016%2018:49:59%20GMT	https://www.java.designpatterns.jobs4times.com/singleton-design-patterns.html	D:/html/java/java.designpatterns.jobs4times.com/www.java.designpatterns.jobs4times.com/singleton-design-patterns.html	(from https://www.java.designpatterns.jobs4times.com/)
21:06:17	6448/6448	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Mar%202016%2018:49:32%20GMT	https://www.java.designpatterns.jobs4times.com/factory-design-pattern.html	D:/html/java/java.designpatterns.jobs4times.com/www.java.designpatterns.jobs4times.com/factory-design-pattern.html	(from https://www.java.designpatterns.jobs4times.com/)
21:06:22	4514/4514	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Mar%202016%2018:49:43%20GMT	https://www.java.designpatterns.jobs4times.com/factory-method-design-pattern.html	D:/html/java/java.designpatterns.jobs4times.com/www.java.designpatterns.jobs4times.com/factory-method-design-pattern.html	(from https://www.java.designpatterns.jobs4times.com/)
21:06:23	5352/5352	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Mar%202016%2008:17:55%20GMT	https://www.java.designpatterns.jobs4times.com/abstract-factory-design-pattern.html	D:/html/java/java.designpatterns.jobs4times.com/www.java.designpatterns.jobs4times.com/abstract-factory-design-pattern.html	(from https://www.java.designpatterns.jobs4times.com/)
21:06:28	4415/4415	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Mar%202016%2018:10:32%20GMT	https://www.java.designpatterns.jobs4times.com/template-method-design-pattern.html	D:/html/java/java.designpatterns.jobs4times.com/www.java.designpatterns.jobs4times.com/template-method-design-pattern.html	(from https://www.java.designpatterns.jobs4times.com/)
21:06:28	3747/3747	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Mar%202016%2007:10:01%20GMT	https://www.java.designpatterns.jobs4times.com/adaptor-design-pattern.html	D:/html/java/java.designpatterns.jobs4times.com/www.java.designpatterns.jobs4times.com/adaptor-design-pattern.html	(from https://www.java.designpatterns.jobs4times.com/)
21:06:32	180567/180567	---M--	200	added ('OK')	image/jpeg	date:Mon,%2016%20Nov%202015%2010:47:58%20GMT	http://img.logos.jobs4times.com/as2.jpg	D:/html/java/java.designpatterns.jobs4times.com/img.logos.jobs4times.com/as2.jpg	(from https://www.java.designpatterns.jobs4times.com/)
21:06:33	5741/5741	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Mar%202016%2015:27:54%20GMT	https://www.java.designpatterns.jobs4times.com/command-design-pattern.html	D:/html/java/java.designpatterns.jobs4times.com/www.java.designpatterns.jobs4times.com/command-design-pattern.html	(from https://www.java.designpatterns.jobs4times.com/)
