date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:55:02	3789/3789	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Aug%202018%2012:56:24%20GMT	https://java.scwcd.jobs4times.com/	D:/html/java/java.scwcd.jobs4times.com/java.scwcd.jobs4times.com/index.html	(from )
20:55:02	153/153	---M--	200	added ('OK')	text/plain	date:Sat,%2014%20May%202016%2016:48:07%20GMT	https://java.scwcd.jobs4times.com/robots.txt		(from )
20:55:02	1808/1808	---M-Z	200	added ('OK')	text/css	date:Thu,%2005%20Dec%202013%2021:08:39%20GMT	https://java.scwcd.jobs4times.com/styles.css	D:/html/java/java.scwcd.jobs4times.com/java.scwcd.jobs4times.com/styles.css	(from https://java.scwcd.jobs4times.com/)
20:55:03	315167/315167	---M--	200	added ('OK')	image/jpeg	date:Thu,%2026%20Feb%202015%2010:33:39%20GMT	https://img.logos.jobs4times.com/banner%20J4T.jpg	D:/html/java/java.scwcd.jobs4times.com/img.logos.jobs4times.com/banner%20J4T.jpg	(from https://java.scwcd.jobs4times.com/)
20:55:03	3789/3789	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Aug%202018%2012:56:24%20GMT	https://java.scwcd.jobs4times.com/index.html	D:/html/java/java.scwcd.jobs4times.com/java.scwcd.jobs4times.com/index-2.html	(from https://java.scwcd.jobs4times.com/)
20:55:03	180567/180567	---M--	200	added ('OK')	image/jpeg	date:Mon,%2016%20Nov%202015%2010:47:58%20GMT	https://img.logos.jobs4times.com/as2.jpg	D:/html/java/java.scwcd.jobs4times.com/img.logos.jobs4times.com/as2.jpg	(from https://java.scwcd.jobs4times.com/)
20:55:04	87015/87015	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Aug%202018%2012:57:51%20GMT	https://java.scwcd.jobs4times.com/Servlet-Technology-Model.html	D:/html/java/java.scwcd.jobs4times.com/java.scwcd.jobs4times.com/Servlet-Technology-Model.html	(from https://java.scwcd.jobs4times.com/)
20:55:04	35461/35461	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Aug%202018%2013:01:40%20GMT	https://java.scwcd.jobs4times.com/Structure-Deployment.html	D:/html/java/java.scwcd.jobs4times.com/java.scwcd.jobs4times.com/Structure-Deployment.html	(from https://java.scwcd.jobs4times.com/)
20:55:04	81489/81489	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Aug%202018%2013:01:01%20GMT	https://java.scwcd.jobs4times.com/Web-Container-Model.html	D:/html/java/java.scwcd.jobs4times.com/java.scwcd.jobs4times.com/Web-Container-Model.html	(from https://java.scwcd.jobs4times.com/)
20:55:04	64112/64112	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Aug%202018%2013:00:21%20GMT	https://java.scwcd.jobs4times.com/Session-Management.html	D:/html/java/java.scwcd.jobs4times.com/java.scwcd.jobs4times.com/Session-Management.html	(from https://java.scwcd.jobs4times.com/)
20:55:04	47098/47098	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Aug%202018%2012:59:16%20GMT	https://java.scwcd.jobs4times.com/Web-Application-Security.html	D:/html/java/java.scwcd.jobs4times.com/java.scwcd.jobs4times.com/Web-Application-Security.html	(from https://java.scwcd.jobs4times.com/)
20:55:05	1163/1163	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2022%20Jun%202024%2015:25:05%20GMT	https://java.scwcd.jobs4times.com/Servlet3-Annotation.html	D:/html/java/java.scwcd.jobs4times.com/java.scwcd.jobs4times.com/Servlet3-Annotation.html	(from https://java.scwcd.jobs4times.com/)
20:55:05	67285/67285	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Aug%202018%2013:03:08%20GMT	https://java.scwcd.jobs4times.com/JSP-Technology-model.html	D:/html/java/java.scwcd.jobs4times.com/java.scwcd.jobs4times.com/JSP-Technology-model.html	(from https://java.scwcd.jobs4times.com/)
20:55:05	38055/38055	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Aug%202018%2013:04:44%20GMT	https://java.scwcd.jobs4times.com/JSP-Actions.html	D:/html/java/java.scwcd.jobs4times.com/java.scwcd.jobs4times.com/JSP-Actions.html	(from https://java.scwcd.jobs4times.com/)
20:55:05	39889/39889	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Aug%202018%2013:08:22%20GMT	https://java.scwcd.jobs4times.com/JSP-Expression-Language.html	D:/html/java/java.scwcd.jobs4times.com/java.scwcd.jobs4times.com/JSP-Expression-Language.html	(from https://java.scwcd.jobs4times.com/)
20:55:06	45810/45810	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Aug%202018%2013:09:21%20GMT	https://java.scwcd.jobs4times.com/JSP-Java-Standard-Tag-Library.html	D:/html/java/java.scwcd.jobs4times.com/java.scwcd.jobs4times.com/JSP-Java-Standard-Tag-Library.html	(from https://java.scwcd.jobs4times.com/)
20:55:06	85436/85436	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Aug%202018%2013:06:30%20GMT	https://java.scwcd.jobs4times.com/JSP-Custom-Tags-Library.html	D:/html/java/java.scwcd.jobs4times.com/java.scwcd.jobs4times.com/JSP-Custom-Tags-Library.html	(from https://java.scwcd.jobs4times.com/)
20:55:06	21250/21250	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Aug%202018%2013:10:03%20GMT	https://java.scwcd.jobs4times.com/Java-EE-Patterns.html	D:/html/java/java.scwcd.jobs4times.com/java.scwcd.jobs4times.com/Java-EE-Patterns.html	(from https://java.scwcd.jobs4times.com/)
